@relation result_new_train4_win

@attribute AVRAGE numeric
@attribute Dealer1 numeric
@attribute PlayerSum numeric
@attribute HITorSTAND {S,H}

@data
7.62,5,13,H
7.9,8,20,S
6.85,7,11,S
6.85,7,11,H
7.51,10,20,S
7.1,7,15,H
7.24,3,10,S
7.24,3,15,H
8.02,7,20,S
8.02,7,12,H
7.41,8,15,S
6.7,10,13,S
6.7,10,6,H
7.92,2,14,S
7.92,2,12,H
7.22,10,14,S
7.22,10,8,H
7.38,7,14,S
7.38,7,14,H
6.96,3,20,S
6.96,3,13,H
6.54,10,19,S
6.72,6,14,S
6.72,6,17,H
6.72,2,18,S
7.35,10,14,S
7.35,10,11,H
7.42,2,13,S
7.36,10,14,S
6.17,6,18,S
6.9,4,13,S
6.9,4,7,H
7.45,5,20,S
7.63,10,14,S
6.17,2,19,S
6.17,2,10,H
6.75,3,18,S
6.92,5,12,S
6.92,5,10,H
6.55,10,20,S
6.88,5,20,S
7.43,5,17,S
7.43,5,11,H
7.45,5,20,S
7.82,5,19,S
7.44,8,15,S
7.37,2,12,H
8.11,3,13,S
6.87,10,19,S
6.87,10,7,H
7.82,10,15,S
7.82,10,14,H
7.72,4,17,S
7.72,4,17,H
6.94,6,13,S
6.94,6,17,H
7.45,8,12,S
7.45,8,7,H
7.62,9,20,S
7.18,7,15,S
7.18,7,15,H
7.11,6,16,S
7.11,6,13,H
7.05,7,14,S
7.8,10,8,S
8.04,9,20,S
6.87,11,13,S
6.87,11,7,H
6.59,9,15,S
6.59,9,17,H
7.45,8,19,S
7.45,8,13,H
7.22,2,15,H
7.71,4,6,S
7.17,10,20,S
6.75,2,18,S
6.75,2,12,H
7.44,9,13,H
7.29,10,13,S
6.3,10,11,S
6.3,10,13,H
6.43,3,13,S
7.21,9,16,S
7.21,9,16,H
7.61,5,16,S
7.61,5,14,H
7.8,10,16,S
7.44,10,20,S
7.44,10,13,H
5.93,2,14,S
6.82,10,12,S
6.23,9,14,S
6.78,4,20,S
6.78,4,18,H
6.71,10,8,S
7.72,5,13,S
7.72,5,14,H
7.57,10,13,S
6.89,4,20,S
6.73,9,10,S
6.73,9,6,H
7.5,4,11,S
7.41,4,9,S
7.41,4,12,H
6.67,10,16,S
8.21,7,10,S
8.21,7,13,H
7.3,9,13,S
7.84,10,18,S
6.89,4,5,S
6.89,4,13,H
7.01,11,15,S
6.93,5,11,S
6.88,6,4,S
7.12,10,10,H
7.04,4,16,S
7.04,4,11,H
7.41,4,20,S
7.41,4,11,H
7.08,11,18,S
7.29,6,13,S
7.29,6,15,H
6.92,9,17,S
6.92,9,14,H
8.05,2,15,S
8.05,2,15,H
7.03,7,19,S
7.03,7,12,H
7.32,5,8,S
6.52,10,11,S
6.52,10,12,H
7.5,5,14,S
7.34,10,14,H
7.48,4,16,S
7.03,10,12,S
6.03,5,10,H
7.81,2,12,S
8.38,4,18,S
8.38,4,12,H
