dealer,player,handtype,action,Q-value
4, 6, 1, 0, 2142.4341584257495
4, 6, 1, 1, 2133.6617177685944
4, 7, 0, 0, 0.0
4, 7, 0, 1, 0.0
4, 7, 1, 0, 2217.041717824894
4, 7, 1, 1, 2197.305936849879
4, 8, 0, 0, 0.0
4, 8, 0, 1, 0.0
4, 8, 1, 0, 2471.723227727544
4, 8, 1, 1, 2513.188120507065
4, 9, 0, 0, 0.0
4, 9, 0, 1, 0.0
4, 9, 1, 0, 2799.9603582030513
4, 9, 1, 1, 2888.1073918411194
4, 10, 0, 0, 0.0
4, 10, 0, 1, 0.0
4, 10, 1, 0, 3266.5028338752545
4, 10, 1, 1, 3324.8320822567334
4, 11, 0, 0, 0.0
4, 11, 0, 1, 0.0
4, 11, 1, 0, 2196.731899074841
4, 11, 1, 1, 2195.977352925396
4, 12, 0, 0, 2710.8345024024516
4, 12, 0, 1, 2942.97724025431
4, 12, 1, 0, 2147.9228203763746
4, 12, 1, 1, 1623.4944996509587
4, 13, 0, 0, 2829.161313756603
4, 13, 0, 1, 2897.9663796906552
4, 13, 1, 0, 2126.569819756705
4, 13, 1, 1, 1524.65424686753
4, 14, 0, 0, 2771.360911568625
4, 14, 0, 1, 2814.0120905073795
4, 14, 1, 0, 2136.4273778731267
4, 14, 1, 1, 1399.1279209654049
4, 15, 0, 0, 2719.297196490291
4, 15, 0, 1, 2806.576799492061
4, 15, 1, 0, 2161.8095333251617
4, 15, 1, 1, 1227.9633577944169
4, 16, 0, 0, 2684.378911525945
4, 16, 0, 1, 2753.4446693725877
4, 16, 1, 0, 2145.076492269955
4, 16, 1, 1, 1032.8345912474856
4, 17, 0, 0, 2699.40680359077
4, 17, 0, 1, 2777.2822610741146
4, 17, 1, 0, 2294.880888198366
4, 17, 1, 1, 807.5556661387594
4, 18, 0, 0, 3313.6202026070255
4, 18, 0, 1, 2986.2749134188875
4, 18, 1, 0, 3329.7912985668436
4, 18, 1, 1, 688.6499978490922
4, 19, 0, 0, 4307.959453381433
4, 19, 0, 1, 3203.7759484194203
4, 19, 1, 0, 4328.273933328768
4, 19, 1, 1, 334.52328255184125
